,columns,missing values count
223,Sensor - 224,0
224,Sensor - 225,408
225,Sensor - 226,408
226,Sensor - 227,40
227,Sensor - 228,16
228,Sensor - 229,16
229,Sensor - 230,40
230,Sensor - 231,40
231,Sensor - 232,40
232,Sensor - 233,40
233,Sensor - 234,40
234,Sensor - 235,40
235,Sensor - 236,40
236,Sensor - 237,40
237,Sensor - 238,40
238,Sensor - 239,16
239,Sensor - 240,16
240,Sensor - 241,40
241,Sensor - 242,40
242,Sensor - 243,40
243,Sensor - 244,40
244,Sensor - 245,2318
245,Sensor - 246,2318
246,Sensor - 247,2318
247,Sensor - 248,4494
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,192
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,24
257,Sensor - 258,24
258,Sensor - 259,24
259,Sensor - 260,24
260,Sensor - 261,24
261,Sensor - 262,24
262,Sensor - 263,24
263,Sensor - 264,24
264,Sensor - 265,24
265,Sensor - 266,24
266,Sensor - 267,24
267,Sensor - 268,24
268,Sensor - 269,24
269,Sensor - 270,24
270,Sensor - 271,0
271,Sensor - 272,8
272,Sensor - 273,24
273,Sensor - 274,104
274,Sensor - 275,104
275,Sensor - 276,104
276,Sensor - 277,104
277,Sensor - 278,104
278,Sensor - 279,64
279,Sensor - 280,16
280,Sensor - 281,16
281,Sensor - 282,16
282,Sensor - 283,16
283,Sensor - 284,16
284,Sensor - 285,24
285,Sensor - 286,24
286,Sensor - 287,24
287,Sensor - 288,24
288,Sensor - 289,24
289,Sensor - 290,24
290,Sensor - 291,0
291,Sensor - 292,0
292,Sensor - 293,6215
293,Sensor - 294,6215
294,Sensor - 295,8
295,Sensor - 296,8
296,Sensor - 297,8
297,Sensor - 298,8
298,Sensor - 299,8
299,Sensor - 300,8
300,Sensor - 301,8
301,Sensor - 302,8
302,Sensor - 303,8
303,Sensor - 304,8
304,Sensor - 305,8
305,Sensor - 306,0
306,Sensor - 307,0
307,Sensor - 308,0
308,Sensor - 309,0
309,Sensor - 310,0
310,Sensor - 311,0
311,Sensor - 312,0
312,Sensor - 313,0
313,Sensor - 314,113
314,Sensor - 315,113
315,Sensor - 316,0
316,Sensor - 317,0
317,Sensor - 318,0
318,Sensor - 319,0
319,Sensor - 320,0
320,Sensor - 321,0
321,Sensor - 322,0
322,Sensor - 323,0
323,Sensor - 324,0
324,Sensor - 325,0
325,Sensor - 326,0
326,Sensor - 327,8
327,Sensor - 328,8
328,Sensor - 329,8
329,Sensor - 330,8
330,Sensor - 331,8
331,Sensor - 332,8
332,Sensor - 333,41
333,Sensor - 334,41
334,Sensor - 335,41
335,Sensor - 336,41
336,Sensor - 337,41
337,Sensor - 338,41
338,Sensor - 339,41
339,Sensor - 340,41
340,Sensor - 341,41
341,Sensor - 342,41
342,Sensor - 343,41
343,Sensor - 344,41
344,Sensor - 345,41
345,Sensor - 346,4258
346,Sensor - 347,4258
347,Sensor - 348,41
348,Sensor - 349,192
349,Sensor - 350,192
350,Sensor - 351,192
351,Sensor - 352,192
352,Sensor - 353,192
353,Sensor - 354,192
354,Sensor - 355,192
355,Sensor - 356,192
356,Sensor - 357,8
357,Sensor - 358,16
358,Sensor - 359,4927
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,408
363,Sensor - 364,408
364,Sensor - 365,40
365,Sensor - 366,16
366,Sensor - 367,16
367,Sensor - 368,40
368,Sensor - 369,40
369,Sensor - 370,40
370,Sensor - 371,40
371,Sensor - 372,40
372,Sensor - 373,40
373,Sensor - 374,40
374,Sensor - 375,40
375,Sensor - 376,40
376,Sensor - 377,16
377,Sensor - 378,16
378,Sensor - 379,40
379,Sensor - 380,40
380,Sensor - 381,40
381,Sensor - 382,40
382,Sensor - 383,2318
383,Sensor - 384,2318
384,Sensor - 385,2318
385,Sensor - 386,4494
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,192
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,24
395,Sensor - 396,24
396,Sensor - 397,24
397,Sensor - 398,24
398,Sensor - 399,24
399,Sensor - 400,24
400,Sensor - 401,24
401,Sensor - 402,24
402,Sensor - 403,24
403,Sensor - 404,24
404,Sensor - 405,24
405,Sensor - 406,24
406,Sensor - 407,24
407,Sensor - 408,24
408,Sensor - 409,0
409,Sensor - 410,8
410,Sensor - 411,24
411,Sensor - 412,104
412,Sensor - 413,104
413,Sensor - 414,104
414,Sensor - 415,104
415,Sensor - 416,104
416,Sensor - 417,64
417,Sensor - 418,16
418,Sensor - 419,16
419,Sensor - 420,16
420,Sensor - 421,16
421,Sensor - 422,16
422,Sensor - 423,24
423,Sensor - 424,24
424,Sensor - 425,24
425,Sensor - 426,24
426,Sensor - 427,24
427,Sensor - 428,24
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,8
431,Sensor - 432,8
432,Sensor - 433,8
433,Sensor - 434,8
434,Sensor - 435,8
435,Sensor - 436,8
436,Sensor - 437,8
437,Sensor - 438,8
438,Sensor - 439,8
439,Sensor - 440,8
440,Sensor - 441,8
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,113
450,Sensor - 451,113
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,8
463,Sensor - 464,8
464,Sensor - 465,8
465,Sensor - 466,8
466,Sensor - 467,8
467,Sensor - 468,8
468,Sensor - 469,41
469,Sensor - 470,41
470,Sensor - 471,41
471,Sensor - 472,41
472,Sensor - 473,41
473,Sensor - 474,41
474,Sensor - 475,41
475,Sensor - 476,41
476,Sensor - 477,41
477,Sensor - 478,41
478,Sensor - 479,41
479,Sensor - 480,41
480,Sensor - 481,41
481,Sensor - 482,41
482,Sensor - 483,192
483,Sensor - 484,192
484,Sensor - 485,192
485,Sensor - 486,192
486,Sensor - 487,192
487,Sensor - 488,192
488,Sensor - 489,192
489,Sensor - 490,192
490,Sensor - 491,8
491,Sensor - 492,16
492,Sensor - 493,4927
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,408
497,Sensor - 498,408
498,Sensor - 499,40
499,Sensor - 500,16
500,Sensor - 501,16
501,Sensor - 502,40
502,Sensor - 503,40
503,Sensor - 504,40
504,Sensor - 505,40
505,Sensor - 506,40
506,Sensor - 507,40
507,Sensor - 508,40
508,Sensor - 509,40
509,Sensor - 510,40
510,Sensor - 511,16
511,Sensor - 512,16
512,Sensor - 513,40
513,Sensor - 514,40
514,Sensor - 515,40
515,Sensor - 516,40
516,Sensor - 517,2318
517,Sensor - 518,2318
518,Sensor - 519,2318
519,Sensor - 520,4494
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,192
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,24
529,Sensor - 530,24
530,Sensor - 531,24
531,Sensor - 532,24
532,Sensor - 533,24
533,Sensor - 534,24
534,Sensor - 535,24
535,Sensor - 536,24
536,Sensor - 537,24
537,Sensor - 538,24
538,Sensor - 539,24
539,Sensor - 540,24
540,Sensor - 541,24
541,Sensor - 542,24
542,Sensor - 543,16
543,Sensor - 544,16
544,Sensor - 545,16
545,Sensor - 546,16
546,Sensor - 547,584
547,Sensor - 548,584
548,Sensor - 549,584
549,Sensor - 550,584
550,Sensor - 551,584
551,Sensor - 552,584
552,Sensor - 553,584
553,Sensor - 554,584
554,Sensor - 555,584
555,Sensor - 556,584
556,Sensor - 557,584
557,Sensor - 558,584
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,120
563,Sensor - 564,120
564,Sensor - 565,120
565,Sensor - 566,120
566,Sensor - 567,120
567,Sensor - 568,120
568,Sensor - 569,120
569,Sensor - 570,120
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,4049
579,Sensor - 580,4049
580,Sensor - 581,4049
581,Sensor - 582,4049
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
